REGION,estado_asig,cod_agencia,nombre_agencia,rentabilidad,pos,TIER
Capital Centro,Gran Caracas,574,Manzanares (574),32108451.46,28,BRAVO
Capital Centro,Gran Caracas,566,El Marqués (566),31173283.61,27,BRAVO
Occidente,Falcón,113,Punto Fijo (113),27819443.58,5,BRAVO
Capital Centro,Miranda,520,San Antonio de los Altos II (520),27623692.22,7,BRAVO
Occidente,Falcón,496,Coro II (496),27508194.61,5,BRAVO
Occidente,Zulia,98,Maracaibo Centro (98),26980548.15,32,BRAVO
Capital Centro,Miranda,84,Guarenas (84),25669753.61,6,BRAVO
Capital Centro,Gran Caracas,453,Av. Universidad (453),25332482.92,24,BRAVO
Capital Centro,Gran Caracas,120,Montalbán (120),25300768.4,24,BRAVO
Capital Centro,Carabobo,577,C.C. Caribbean Plaza (577),24546367.81,27,BRAVO
Capital Centro,Guárico,176,Santa María de Ipire (176),24533732.31,5,BRAVO
Oriente,Monagas-Delta Amacuro,96,Tucupita (96),23544911.36,9,BRAVO
Capital Centro,Miranda,102,Los Teques (102),22360388.86,6,BRAVO
Capital Centro,Apure-Amazonas,51,San Fernando de Apure (51),21389978.69,9,BRAVO
Capital Centro,Guárico,578,San Juan de los Morros II (578),20227056.86,4,BRAVO
Occidente,Táchira,56,Táriba (56),19718240.52,5,BRAVO
Centro Occidente,Yaracuy,127,Chivacoa (127),18309008.08,12,BRAVO
Centro Occidente,Barinas,29,Ciudad Bolivia (29),17393976.8,8,BRAVO
Centro Occidente,Yaracuy,65,San Carlos (65),17171360.7,12,BRAVO
Occidente,Mérida,21,Tovar (21),16897126.76,5,BRAVO
Capital Centro,Aragua,87,La Victoria (87),12853833.02,12,BRAVO
Capital Centro,Apure-Amazonas,275,San Fernando de Apure II (275),12765576.85,7,CHARLIE
Capital Centro,Aragua,197,San Sebastián de los Reyes (197),12716963.93,12,CHARLIE
Occidente,Falcón,66,Coro (66),11962044.87,4,CHARLIE
Capital Centro,La Guaira,621,Terminal Catia la Mar (621),11889593.0,7,CHARLIE
Capital Centro,Carabobo,135,Mariara (135),11449867.01,24,CHARLIE
Oriente,Sucre,81,Cumaná (81),11396028.49,3,CHARLIE
Centro Occidente,Portuguesa,395,San Rafaél de Onoto (395),11364241.52,9,CHARLIE
Capital Centro,Guárico,93,Zaraza (93),10956466.94,3,CHARLIE
Centro Occidente,Barinas,41,Socopó (41),10781711.62,7,CHARLIE
Occidente,Zulia,159,Maracaibo Av. La Limpia (159),10758308.45,20,CHARLIE
Oriente,Sucre,667,C.C. Ciudad Cumaná (667),10624834.72,2,CHARLIE
Capital Centro,Apure-Amazonas,90,Mantecal (90),10459149.83,7,CHARLIE
Centro Occidente,Barinas,125,Ciudad de Nutrias (125),10365209.49,7,CHARLIE
Oriente,Anzoátegui,74,Puerto la Cruz (74),10333166.53,8,CHARLIE
Capital Centro,Miranda,115,Guatire (115),10139040.15,4,CHARLIE
Centro Occidente,Yaracuy,173,Aroa (173),9778058.56,10,CHARLIE
Oriente,Anzoátegui,137,Lecherías (137),9080776.88,7,CHARLIE
Capital Centro,Miranda,121,San Antonio de los Altos (121),9058478.41,4,CHARLIE
Capital Centro,Apure-Amazonas,37,Elorza (37),8858162.76,7,CHARLIE
Occidente,Táchira,30,La Grita (30),8696464.98,3,CHARLIE
Centro Occidente,Barinas,92,Barinas Centro (92),8605609.72,6,CHARLIE
Occidente,Mérida,28,El Vigía (28),8603207.14,5,CHARLIE
Capital Centro,Carabobo,407,Cedeño (407),8596279.74,21,CHARLIE
Capital Centro,Apure-Amazonas,217,Achaguas (217),8500710.51,7,CHARLIE
Occidente,Zulia,170,Cabimas (170),8347765.47,18,CHARLIE
Capital Centro,Miranda,370,Ocumare del Tuy Av. Miranda (370),7980134.93,4,CHARLIE
Capital Centro,Aragua,150,Tejerías (150),7940499.15,10,CHARLIE
Centro Occidente,Portuguesa,165,El Playón (165),7809501.1,7,CHARLIE
Centro Occidente,Lara,347,Carora Av. Fco de Miranda (347),7752870.46,2,CHARLIE
Occidente,Táchira,43,El Piñal (43),7640648.41,3,CHARLIE
Capital Centro,Carabobo,161,Guacara (161),7522266.53,20,CHARLIE
Capital Centro,Carabobo,156,Tocuyito (156),7509478.33,19,CHARLIE
Centro Occidente,Lara,179,Tocuyo (179),7498456.66,2,CHARLIE
Centro Occidente,Yaracuy,189,Urachiche (189),7387873.89,9,CHARLIE
Capital Centro,Miranda,124,Higuerote (124),7282494.81,3,CHARLIE
Occidente,Táchira,55,San Antonio del Táchira (55),7194515.49,3,CHARLIE
Centro Occidente,Yaracuy,71,San Felipe (71),7063390.41,8,CHARLIE
Oriente,Bolívar,526,Bolívar Edf. Los Chaguaramos (526),6949206.38,4,CHARLIE
Oriente,Nueva Esparta,549,Porlamar Av. Bolívar (549),6862097.68,5,CHARLIE
Capital Centro,La Guaira,248,Puerto Litoral (248),6729359.0,7,CHARLIE
Oriente,Anzoátegui,157,Aragua de Barcelona (157),6461561.42,6,CHARLIE
Occidente,Táchira,24,La Concordia (24),6452097.85,3,CHARLIE
Capital Centro,Aragua,198,Santa Cruz de Aragua (198),6245500.67,9,CHARLIE
Occidente,Falcón,177,Mirimire (177),6142652.05,3,CHARLIE
Occidente,Falcón,499,Churuguara (499),5980721.18,3,CHARLIE
Occidente,Falcón,497,Chichiriviche (497),5946404.89,3,CHARLIE
Occidente,Táchira,26,Colón (26),5720993.33,3,CHARLIE
Oriente,Sucre,605,Cumaná Plaza (605),5625447.33,2,CHARLIE
Oriente,Nueva Esparta,333,4 de Mayo (333),5459467.1,5,CHARLIE
Oriente,Bolívar,130,San Félix (130),5375970.82,4,CHARLIE
Occidente,Falcón,353,Tucacas C.C. Morrocoy (353),5327307.41,2,CHARLIE
Occidente,Táchira,183,Cordero (183),5296766.94,3,CHARLIE
Capital Centro,Guárico,184,Las Mercedes del Llano (184),5243128.83,2,CHARLIE
Centro Occidente,Portuguesa,399,Agua Blanca (399),5124412.32,6,CHARLIE
Capital Centro,Carabobo,86,Puerto Cabello (86),5114029.7,16,CHARLIE
Oriente,Bolívar,620,Torre Bell (620),5109649.25,3,CHARLIE
Capital Centro,La Guaira,83,La Guaira (83),5044325.0,7,CHARLIE
Centro Occidente,Portuguesa,178,Boconoíto (178),5043981.59,6,CHARLIE
Centro Occidente,Lara,109,Quíbor (109),5037981.93,1,CHARLIE
Occidente,Mérida,11,Glorias Patrias (11),4910796.34,4,CHARLIE
