,,,,,
,,,,,
,,,,,
,,,,,
cod,estado,region,cod_agencia,nombre_agencia,rentabilidad_may
11,Falcon,Occidente,499,Churuguara (499),"5.980.721,18"
11,Falcon,Occidente,497,Chichiriviche (497),"5.946.404,89"
11,Falcon,Occidente,353,Tucacas C.C. Morrocoy (353),"5.327.307,41"
11,Falcon,Occidente,513,San Juan de los Cayos (513),"2.684.274,30"
11,Falcon,Occidente,512,Los Médanos (512),"2.551.128,46"
11,Falcon,Occidente,164,Dabajuro (164),"1.836.999,82"
11,Falcon,Occidente,509,Guamacho (509),"1.716.590,90"
11,Falcon,Occidente,510,Mauroa (510),"1.507.916,21"
11,Falcon,Occidente,609,Pueblo Nuevo (609),"1.435.867,69"
11,Falcon,Occidente,162,Puerto Cumarebo (162),"929.247,38"
11,Falcon,Occidente,611,Cabure (611),"698.296,87"
11,Falcon,Occidente,568,Buchivacoa (568),"601.306,33"
11,Falcon,Occidente,503,La Vela (503),"405.736,18"
11,Falcon,Occidente,613,Santa Cruz de Bucaral (613),"-283.227,57"
11,Falcon,Occidente,516,Mirimire Calle Bolívar (516),"-1.323.685,32"
14,Merida,Occidente,40,Mérida Centro (40),"40.311.166,91"
14,Merida,Occidente,21,Tovar (21),"16.897.126,76"
14,Merida,Occidente,28,El Vigía (28),"8.603.207,14"
14,Merida,Occidente,11,Glorias Patrias (11),"4.910.796,34"
14,Merida,Occidente,27,Timotes (27),"4.763.767,47"
14,Merida,Occidente,54,Santa Elena de Arenales (54),"4.351.677,88"
14,Merida,Occidente,42,La Azulita (42),"2.934.249,13"
14,Merida,Occidente,103,Santo Domingo (103),"1.991.833,81"
14,Merida,Occidente,193,Canaguá (193),"751.952,04"
14,Merida,Occidente,211,Caparo (211),"404.575,53"
14,Merida,Occidente,201,Bailadores (201),"-806.783,76"
20,Tachira ,Occidente,39,Pirineos (39),"142.852.557,73"
20,Tachira ,Occidente,126,Las Cristinas (126),"75.603.425,05"
20,Tachira ,Occidente,199,Capacho Independencia (199),"55.135.420,30"
20,Tachira ,Occidente,56,Táriba (56),"19.718.240,52"
20,Tachira ,Occidente,30,La Grita (30),"8.696.464,98"
20,Tachira ,Occidente,43,El Piñal (43),"7.640.648,41"
20,Tachira ,Occidente,55,San Antonio del Táchira (55),"7.194.515,49"
20,Tachira ,Occidente,24,La Concordia (24),"6.452.097,85"
20,Tachira ,Occidente,26,Colón (26),"5.720.993,33"
20,Tachira ,Occidente,183,Cordero (183),"5.296.766,94"
20,Tachira ,Occidente,23,La Fría (23),"3.198.270,60"
20,Tachira ,Occidente,46,Pequeños Comerciantes (46),"2.951.138,40"
20,Tachira ,Occidente,36,La Pedrera (36),"2.786.784,61"
20,Tachira ,Occidente,49,Queniquea (49),"2.227.461,09"
20,Tachira ,Occidente,31,Coloncito (31),"1.929.272,25"
20,Tachira ,Occidente,45,Rubio (45),"1.711.038,97"
20,Tachira ,Occidente,38,Pregonero (38),"1.468.683,62"
20,Tachira ,Occidente,47,Santa Ana (47),"1.327.307,65"
20,Tachira ,Occidente,216,Lobatera (216),"1.077.733,78"
20,Tachira ,Occidente,52,Michelena (52),"896.772,72"
20,Tachira ,Occidente,215,San Josecito (215),"703.285,47"
20,Tachira ,Occidente,182,La Tendida (182),"675.096,33"
20,Tachira ,Occidente,236,San José de Bolívar (236),"502.466,06"
20,Tachira ,Occidente,110,Capacho Libertad (110),"482.523,61"
20,Tachira ,Occidente,212,El Cobre (212),"460.992,93"
20,Tachira ,Occidente,229,Seboruco (229),"155.787,58"
20,Tachira ,Occidente,230,San Simón (230),"7.050,50"
20,Tachira ,Occidente,202,Hospital Central (202),"-498.563,77"
20,Tachira ,Occidente,205,Abejales (205),"-734.707,29"
20,Tachira ,Occidente,210,Delicias (210),"-1.485.011,24"
20,Tachira ,Occidente,147,Sambil San Cristóbal (147),"-6.018.894,70"
21,Trujillo,Occidente,12,Valera (12),"146.027.021,29"
21,Trujillo,Occidente,228,Carvajal (228),"2.160.577,66"
21,Trujillo,Occidente,237,Campo Elías (237),"2.034.340,65"
21,Trujillo,Occidente,208,Sabana Mendoza (208),"1.237.371,90"
21,Trujillo,Occidente,617,Betijoque (617),"132.365,85"
21,Trujillo,Occidente,417,Monay (417),"-1.711.786,28"
21,Trujillo,Occidente,200,Trujillo (200),"-43.122.671,49"
23,Zulia ,Occidente,320,Maracaibo Av. Bella Vista (320),"1.221.186.014,38"
23,Zulia ,Occidente,581,Los Háticos (581),"522.809.298,93"
23,Zulia ,Occidente,98,Maracaibo Centro (98),"26.980.548,15"
23,Zulia ,Occidente,159,Maracaibo Av. La Limpia (159),"10.758.308,45"
23,Zulia ,Occidente,170,Cabimas (170),"8.347.765,47"
23,Zulia ,Occidente,561,Maracaibo 5 de Julio (561),"4.482.601,11"
23,Zulia ,Occidente,95,Encontrados (95),"4.244.917,85"
23,Zulia ,Occidente,104,Machiques (104),"4.195.196,85"
23,Zulia ,Occidente,119,Santa Bárbara del Zulia (119),"3.662.694,08"
23,Zulia ,Occidente,175,La Concepción (175),"3.359.574,65"
23,Zulia ,Occidente,149,Casigua el Cubo (149),"3.246.110,73"
23,Zulia ,Occidente,118,Mene Grande (118),"3.153.380,80"
23,Zulia ,Occidente,97,Ciudad Ojeda (97),"3.047.674,73"
23,Zulia ,Occidente,554,El Chivo (554),"3.023.466,83"
